frame,id,xf,yf,wf,hf,label
3,3001,0.265459,0.316236,0.089852,0.116654,vehicle
3,3002,0.295564,0.565075,0.109249,0.160954,vehicle
3,3003,0.355233,0.123994,0.033213,0.033817,vehicle
3,3004,0.389812,0.094406,0.022771,0.025979,vehicle
3,3005,0.412398,0.077699,0.021074,0.027305,vehicle
3,3006,0.401434,0.261286,0.053408,0.063578,vehicle
3,3007,0.424154,0.057810,0.022511,0.031626,vehicle
3,3008,0.446628,0.055719,0.013151,0.021277,vehicle
3,3009,0.445981,0.028325,0.014462,0.015804,vehicle
3,3010,0.440512,0.163952,0.034263,0.037244,vehicle
3,3011,0.466505,0.066010,0.016560,0.021013,vehicle
3,3012,0.473767,0.006407,0.007424,0.011766,vehicle
3,3013,0.600422,0.105224,0.038234,0.026575,vehicle
3,3014,0.563659,0.364456,0.148978,0.079748,vehicle
3,3015,0.565408,0.407403,0.161665,0.089511,vehicle
3,3016,0.570137,0.454574,0.179422,0.106789,vehicle
3,3017,0.588821,0.513057,0.174267,0.120417,vehicle
3,3018,0.582217,0.593859,0.196754,0.152481,vehicle
3,3019,0.628008,0.326271,0.107737,0.076883,vehicle
3,3020,0.680419,0.308429,0.099321,0.076108,vehicle
3,3021,0.706985,0.286587,0.105874,0.072725,vehicle
3,3022,0.779533,0.275743,0.084447,0.074494,vehicle
3,3023,0.801420,0.163623,0.084552,0.055009,vehicle
3,3024,0.835503,0.270693,0.070679,0.066961,vehicle
3,3025,0.876446,0.263333,0.066486,0.066093,vehicle
3,3026,0.926191,0.264074,0.058558,0.063257,vehicle
4,4000,0.144507,0.523156,0.122568,0.156924,vehicle
4,4001,0.265676,0.315697,0.090122,0.116370,vehicle
4,4002,0.298667,0.558316,0.106847,0.158941,vehicle
4,4003,0.354484,0.124401,0.033563,0.033610,vehicle
4,4004,0.389439,0.094046,0.023071,0.027154,vehicle
4,4005,0.413149,0.077837,0.020388,0.027600,vehicle
4,4006,0.402280,0.258844,0.053159,0.062606,vehicle
4,4007,0.424484,0.058085,0.022244,0.030936,vehicle
4,4008,0.446955,0.055885,0.012794,0.020872,vehicle
4,4009,0.441213,0.162769,0.033485,0.036546,vehicle
4,4010,0.466566,0.066029,0.016419,0.020865,vehicle
4,4011,0.599735,0.105244,0.039550,0.026507,vehicle
4,4012,0.564075,0.365133,0.148185,0.078781,vehicle
4,4013,0.566793,0.407922,0.160327,0.088850,vehicle
4,4014,0.569965,0.455032,0.179602,0.107370,vehicle
4,4015,0.589098,0.512876,0.174066,0.119579,vehicle
4,4016,0.582274,0.594012,0.196748,0.152392,vehicle
4,4017,0.628051,0.326522,0.107364,0.076478,vehicle
4,4018,0.679279,0.308708,0.100644,0.075409,vehicle
4,4019,0.706754,0.286849,0.106099,0.072036,vehicle
4,4020,0.779199,0.275819,0.084798,0.074540,vehicle
4,4021,0.798819,0.163464,0.084026,0.055055,vehicle
4,4022,0.835197,0.270917,0.069857,0.066550,vehicle
4,4023,0.877547,0.263458,0.065558,0.065875,vehicle
4,4024,0.926026,0.264117,0.058673,0.062974,vehicle
5,5000,0.146295,0.522167,0.121264,0.155682,vehicle
5,5001,0.266004,0.314439,0.089979,0.116803,vehicle
5,5002,0.300898,0.554291,0.105912,0.154611,vehicle
5,5003,0.354248,0.124473,0.033406,0.034146,vehicle
5,5004,0.389368,0.093331,0.023930,0.028062,vehicle
5,5005,0.412613,0.077937,0.020616,0.028012,vehicle
5,5006,0.402775,0.254543,0.053009,0.063539,vehicle
5,5007,0.424857,0.057817,0.022075,0.031203,vehicle
5,5008,0.445825,0.028001,0.011899,0.014893,vehicle
5,5009,0.446927,0.056123,0.012773,0.020366,vehicle
5,5010,0.441138,0.161519,0.033733,0.035924,vehicle
5,5011,0.466822,0.065195,0.016182,0.021322,vehicle
5,5012,0.473695,0.006613,0.007256,0.011493,vehicle
5,5013,0.599868,0.105218,0.037594,0.026322,vehicle
5,5014,0.564253,0.365401,0.148272,0.079055,vehicle
5,5015,0.566929,0.407877,0.159985,0.089016,vehicle
5,5016,0.569978,0.455068,0.179413,0.107467,vehicle
5,5017,0.589092,0.512707,0.174094,0.119451,vehicle
5,5018,0.582218,0.593857,0.196780,0.152427,vehicle
5,5019,0.627960,0.326195,0.107360,0.076516,vehicle
5,5020,0.679990,0.308633,0.100143,0.075476,vehicle
5,5021,0.706873,0.286915,0.106027,0.072009,vehicle
5,5022,0.779111,0.275780,0.085009,0.074446,vehicle
5,5023,0.795607,0.163304,0.084842,0.054448,vehicle
5,5024,0.835143,0.270943,0.069972,0.066271,vehicle
5,5025,0.877277,0.263473,0.065907,0.065828,vehicle
5,5026,0.926146,0.264117,0.058626,0.062968,vehicle
6,6000,0.146838,0.520776,0.120831,0.154761,vehicle
6,6001,0.266714,0.313619,0.089730,0.116729,vehicle
6,6002,0.304033,0.545540,0.103870,0.152866,vehicle
6,6003,0.353731,0.124796,0.032691,0.034283,vehicle
6,6004,0.389232,0.094050,0.025301,0.027866,vehicle
6,6005,0.412102,0.078171,0.021074,0.028409,vehicle
6,6006,0.403492,0.253520,0.052599,0.060473,vehicle
6,6007,0.424749,0.058192,0.021924,0.031759,vehicle
6,6008,0.445261,0.028003,0.011612,0.014523,vehicle
6,6009,0.446620,0.056261,0.013229,0.020188,vehicle
6,6010,0.441386,0.160913,0.033522,0.034809,vehicle
6,6011,0.466691,0.065474,0.016283,0.020870,vehicle
6,6012,0.473837,0.006420,0.007290,0.011459,vehicle
6,6013,0.599708,0.105249,0.037088,0.026333,vehicle
6,6014,0.564315,0.365302,0.148253,0.078820,vehicle
6,6015,0.566963,0.408010,0.160217,0.089149,vehicle
6,6016,0.569669,0.454643,0.179793,0.107682,vehicle
6,6017,0.589117,0.512752,0.173905,0.118922,vehicle
6,6018,0.582283,0.593987,0.196752,0.152314,vehicle
6,6019,0.628053,0.326359,0.107290,0.076747,vehicle
6,6020,0.680003,0.308453,0.100061,0.075635,vehicle
6,6021,0.707079,0.287058,0.105594,0.071986,vehicle
6,6022,0.779266,0.275631,0.084556,0.074619,vehicle
6,6023,0.793284,0.163188,0.084261,0.055162,vehicle
6,6024,0.835342,0.270981,0.069899,0.066186,vehicle
6,6025,0.878135,0.263411,0.064981,0.065987,vehicle
6,6026,0.926164,0.264138,0.058611,0.063009,vehicle
7,7000,0.147881,0.519887,0.120248,0.152964,vehicle
7,7001,0.266985,0.313286,0.089662,0.115782,vehicle
7,7002,0.306755,0.538385,0.102775,0.151306,vehicle
7,7003,0.352696,0.125316,0.033210,0.034233,vehicle
7,7004,0.388981,0.093520,0.025109,0.027119,vehicle
7,7005,0.412075,0.077955,0.020962,0.027667,vehicle
7,7006,0.404245,0.251037,0.052338,0.060562,vehicle
7,7007,0.424938,0.057423,0.021547,0.031677,vehicle
7,7008,0.445030,0.028104,0.011605,0.014221,vehicle
7,7009,0.446612,0.056127,0.013328,0.020093,vehicle
7,7010,0.441891,0.156821,0.033222,0.037438,vehicle
7,7011,0.467129,0.064478,0.015926,0.021334,vehicle
7,7012,0.599772,0.105127,0.037715,0.026354,vehicle
7,7013,0.564479,0.365574,0.147988,0.078898,vehicle
7,7014,0.566851,0.408270,0.160421,0.088962,vehicle
7,7015,0.569850,0.454941,0.179745,0.107818,vehicle
7,7016,0.589037,0.512714,0.174135,0.119619,vehicle
7,7017,0.582246,0.594028,0.196678,0.152253,vehicle
7,7018,0.627837,0.326313,0.107562,0.076666,vehicle
7,7019,0.680212,0.308744,0.099981,0.074635,vehicle
7,7020,0.706711,0.287076,0.105961,0.072011,vehicle
7,7021,0.779188,0.275781,0.084474,0.074417,vehicle
7,7022,0.790535,0.162915,0.083299,0.055259,vehicle
7,7023,0.835145,0.270992,0.070271,0.066435,vehicle
7,7024,0.877541,0.263245,0.065453,0.066154,vehicle
7,7025,0.926123,0.264258,0.058563,0.062894,vehicle
8,8000,0.148453,0.518371,0.120067,0.153213,vehicle
8,8001,0.267413,0.312345,0.089936,0.115992,vehicle
8,8002,0.309542,0.531852,0.101935,0.148811,vehicle
8,8003,0.351969,0.125872,0.033206,0.034298,vehicle
8,8004,0.388557,0.093020,0.024568,0.028042,vehicle
8,8005,0.411434,0.077964,0.021145,0.027781,vehicle
8,8006,0.404998,0.249736,0.051933,0.059023,vehicle
8,8007,0.425324,0.056665,0.021732,0.032046,vehicle
8,8008,0.444129,0.028929,0.012176,0.014197,vehicle
8,8009,0.446702,0.055905,0.013344,0.020192,vehicle
8,8010,0.442530,0.155912,0.033045,0.036727,vehicle
8,8011,0.467027,0.064430,0.015947,0.020949,vehicle
8,8012,0.599780,0.105009,0.037619,0.026053,vehicle
8,8013,0.564414,0.365241,0.148093,0.078888,vehicle
8,8014,0.566887,0.408179,0.160406,0.089183,vehicle
8,8015,0.569797,0.454814,0.179741,0.108460,vehicle
8,8016,0.588943,0.512431,0.174263,0.120095,vehicle
8,8017,0.582263,0.593758,0.196709,0.152396,vehicle
8,8018,0.628320,0.326121,0.107037,0.076774,vehicle
8,8019,0.681420,0.308931,0.098813,0.074343,vehicle
8,8020,0.706820,0.287021,0.105864,0.072142,vehicle
8,8021,0.779224,0.275780,0.084326,0.074394,vehicle
8,8022,0.787547,0.162643,0.082841,0.055266,vehicle
8,8023,0.834590,0.270963,0.071022,0.066285,vehicle
8,8024,0.877346,0.263270,0.065547,0.066058,vehicle
8,8025,0.926378,0.264103,0.058199,0.062995,vehicle
9,9000,0.149528,0.517120,0.119744,0.151859,vehicle
9,9001,0.268060,0.311724,0.089603,0.115360,vehicle
9,9002,0.312106,0.526486,0.102045,0.144892,vehicle
9,9003,0.351826,0.126793,0.032539,0.033716,vehicle
9,9004,0.388217,0.093141,0.022848,0.028625,vehicle
9,9005,0.410901,0.078190,0.021128,0.027734,vehicle
9,9006,0.405801,0.246927,0.051580,0.059119,vehicle
9,9007,0.425880,0.057550,0.020885,0.030815,vehicle
9,9008,0.443521,0.029379,0.012801,0.014564,vehicle
9,9009,0.446407,0.055561,0.013531,0.020745,vehicle
9,9010,0.443305,0.154639,0.032487,0.037247,vehicle
9,9011,0.467038,0.064212,0.015932,0.021162,vehicle
9,9012,0.599681,0.105194,0.036550,0.026009,vehicle
9,9013,0.564376,0.364985,0.147988,0.079363,vehicle
9,9014,0.566889,0.408428,0.160329,0.088856,vehicle
9,9015,0.569846,0.454803,0.179612,0.108116,vehicle
9,9016,0.588955,0.512549,0.174122,0.120174,vehicle
9,9017,0.582190,0.593834,0.196658,0.152226,vehicle
9,9018,0.628190,0.326399,0.107153,0.076612,vehicle
9,9019,0.681205,0.309091,0.099063,0.074015,vehicle
9,9020,0.706487,0.287158,0.106147,0.071855,vehicle
9,9021,0.779331,0.275929,0.084242,0.074237,vehicle
9,9022,0.784236,0.162682,0.084522,0.055268,vehicle
9,9023,0.834585,0.271300,0.071251,0.066063,vehicle
9,9024,0.877887,0.263293,0.065178,0.065958,vehicle
9,9025,0.926318,0.264084,0.058323,0.062912,vehicle
